community,children,sex,age,treatment,deaths,persontime
HARIKANASSOU (DJERMAKOYE K...):HARIKANASSOU:BOBOYE-3,119,0.48739496,30.655462,1,5,107929.5
HEDA FARAKA:KOFFO:BOBOYE-4,87,0.49425286,30.402298,1,2,73544
HERA KOUARA:TEGUEZE KOIRA:LOGA-2,153,0.54901963,31.496733,0,9,103406.5
HINTCHINKOYE KOIRA:TEGUEZE KOIRA:LOGA-2,198,0.50505048,29.055555,1,17,132284
ILLADE:BIRNI:BOBOYE-1,117,0.46153846,32.811966,0,4,83712.5
KABERI:FALWEL:LOGA-1,72,0.5138889,31.125,0,3,46753
KABOBOYE:SABOULA:BOBOYE-5,92,0.5,30.695652,0,2,67890.5
KABOE KOIRA:FALWEL:LOGA-1,297,0.46127945,31.488216,1,21,194105.5
KALAAPO:SABOULA:BOBOYE-5,55,0.45454547,31.363636,1,4,34994.5
KALEY DEY:LOGA:LOGA-2,35,0.48571429,32.771427,0,2,29782
KALLA BERI:KIOTA:BOBOYE-3,154,0.51298702,32.285713,0,1,114300
KALLA PATHE:KIOTA:BOBOYE-3,119,0.47058824,30.705883,1,3,91853.5
KALLA PEULH:KIOTA:BOBOYE-3,80,0.42500001,30.4125,1,0,61505.5
KALLEY DAOUDA:MALLAN KOIRA:LOGA-2,109,0.39449543,29.293577,1,2,68167
